wof:id,sg:id
186009347,SG_0A5JwvBJw1kvosit58FeS3_46.375900_-117.022110@1294099250
169616021,SG_0sqfjmWeQyDkl1B11V5WDz_46.404705_-117.032102@1294099250
169625701,SG_5ynwgoLmxesgx71ZolOVhY_46.404065_-117.021224@1294099250
169802439,SG_6apVsw89cZ4pHTNPaYXN4W_46.398275_-117.033245@1294099250
169795465,SG_1mGafXGgsue3xkyBHAeQ0y_46.401057_-117.034062@1294099250
169831347,SG_4Xt0SjsNHDsgLFx82AifzD_46.395233_-117.025608@1294099250
169611689,SG_5Q7HU3yUyYSUbCGTcPETHs_46.381750_-117.012504@1294099250
185601109,SG_21Hj3QgQdAQ6iwXyqm8kxA_46.387861_-117.038147@1294099250
186126915,SG_5dWewbhG72pdILd1MVZPRc_46.390055_-117.026456@1294099250
169714363,SG_71Vxug8NIuJ9OeNKvD1o3Y_46.398357_-117.023075@1294099250
320524275,SG_5MM0cQ0j4vGkxw33gvG623_46.401299_-117.031306@1303263095
320524471,SG_684OCPvnanUP9uAu2uk8ac_46.396036_-117.021957@1303263095
186172117,SG_2fTowVySn5Rae7JuTYM6J4_46.398280_-117.032918@1294099250
320524973,SG_7TpyiIhnhOP9PjSIzkM6F6_46.390926_-117.026395@1303263095
320524621,SG_1Ue8YOqDOeHehd8axoHPsR_46.404140_-117.021105@1303263095
320525287,SG_3hWJyEegVflkXj5x9YNDqq_46.355980_-117.038216@1303263095
320525353,SG_411JTX0HzrCkiDE2GN44AS_46.383097_-117.014451@1303263095
320525429,SG_42ghFGvCxoHi1lkG0mvVJK_46.401112_-117.032341@1303263095
186404151,SG_4GDvSgti0BKmwVcx0yJPbc_46.380494_-117.012496@1294099250
320525519,SG_55feFAvpyURrpjUZCpMi0L_46.404148_-117.018312@1303263095
186431227,SG_4NxAXU0hZ9Oo5EyT25Nr1D_46.408408_-117.033377@1294099250
185765143,SG_5JjToMJNK1TNaasJJFTGne_46.380723_-117.024171@1294099250
185765935,SG_09p1FjRsiFa5Q3wRx3tmCj_46.404707_-117.028284@1294099250
353996059,SG_1aAYy8qn3ImGIVito0llMI_47.610418_-122.316798@1303262370
